"id","question_id","option_id","code","content","project_id","table_id","year","del_flag","create_by","create_time","update_by","update_time","remark"
1	,110003	,,2101020	,"21",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
2	,110004	,,2101020	,"2101",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
3	,110006	,,2101020	,"210102",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
4	,110002	,,2101020	,"2101020",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
5	,110001	,,2101020	,"2101020",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
6	,110008	,,2101020	,曾倩测试,2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
7	,110290	,,2101020	,"111",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
8	,110219	,,2101020	,曾倩,2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
9	,110220	,,2101020	,"18341564557",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
10	,110013	,,2101020	,"5",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
11	,110014	,,2101020	,"3",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
12	,110015	,,2101020	,"2",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
13	,110025	,,2101020	,"0",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
14	,110027	,,2101020	,"2",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
15	,110028	,,2101020	,"1",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
16	,110029	,,2101020	,"1",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
17	,110030	,,2101020	,"1",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
18	,110031	,,2101020	,"1",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
19	,110032	,,2101020	,"0",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
20	,110033	,,2101020	,"0",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
21	,110035	,,2101020	,"2",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
22	,110036	,,2101020	,"1",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
23	,110037	,,2101020	,"1",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
24	,110038	,,2101020	,"1",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
25	,110039	,,2101020	,"1",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
26	,110040	,,2101020	,"0",2	,1	,"2025","0",lnsjk01,"2025-09-07 21:00:57","",,
