run_batch,row_key,rule_name,output_name,field_values
表3-2,210404108130101,"","01-表3-2-ID不一致","ID1=210404108130101;PROVINCE=21;CITY=2104;COUNTY=210404;POINT=1;SCHOOL=08;A01=13;A011=0101;A02=1;A05=1;Q92=1;A06=3;D021=1;HD031=10;HD033=6;HD051=8;HD0511=8;HD061=9;HD0611=8;HD032=30;HD034=10;HD052=30;HD0512=10;HD062=30;HD0612=30;A04=2;A061=2;A062=1;A063=1;A064=2;A065=2;A066=2;A067=2;A08=2;A09=2;B01=3;B03=2;B04=2;B05=5;B13=2;B06=5;B09A=6;B09A1=2;B12=3;B14=1;B15=3;H401B=3;H401C=1;H401D=2;H01B=3;H01C=2;H02A=2;D02=1;C09=3;H403A=2;H403B=2;H403C=2;H403D=2;H403E=2;H04A=5;H04B=1;H04C=5;C10=2;H03A=4;H03B=2;H03C=2;H03D=3;C03=5;H03F=2;H03G=4;H03H=5;H05A=3;HD07=1;H06A=4;H06B=3;H06C=2;G01=1;G11=1;I101=2;I102=1;I103=1;I104=4;I105=1;I106=1;I107=1;I108=4;I109=1;I110=1;I111=2;I112=4;I113=2;I114=1;I115=1;I116=4;I117=1;I118=1;I119=1;I121=1;I122=1;I123=1;I124=1;I125=1;I126=1;I127=1;I128=1;I130=2;I131=2;I132=2;I133=2;I134=2;I135=2;I136=2;I137=1;DATE=24/10/2025;H06F=;ID3=630804108130101.0;ID是否一致=1;地市编码缺失=0;县区编码缺失=0;城乡编码缺失或异常=0;学校编码缺失=0;年级编码缺失或异常=0;性别编码缺失或异常=0;住校编码缺失或异常=0;民族编码缺失或异常=0"
表3-2,210404108130102,"","01-表3-2-ID不一致","ID1=210404108130102;PROVINCE=21;CITY=2104;COUNTY=210404;POINT=1;SCHOOL=08;A01=13;A011=0102;A02=1;A05=1;Q92=2;Q921=13;A06=5;D021=3;C102=1;HD031=10;HD033=6;HD051=6;HD0511=6;HD061=2;HD0611=5;HD032=0;HD034=30;HD052=0;HD0512=0;HD062=0;HD0612=0;A04=2;A061=1;A062=1;A063=1;A064=2;A065=2;A066=1;A067=2;A08=2;A09=2;B01=2;B03=3;B04=4;B05=5;B13=4;B06=5;B09A=6;B09A1=3;B12=4;B14=1;B15=1;H401B=3;H401C=1;H401D=2;H01B=3;H01C=3;H02A=3;D02=1;C09=3;H403A=4;H403B=4;H403C=4;H403D=2;H403E=2;H04A=2;H04B=1;H04C=3;C10=1;H03A=3;H03B=1;H03C=3;H03D=3;C03=5;H03F=1;H03G=2;H03H=3;H05A=3;HD07=3;H06A=4;H06B=3;H06C=2;G01=1;G11=1;I101=1;I102=1;I103=3;I104=2;I105=1;I106=1;I107=1;I108=3;I109=1;I110=1;I111=1;I112=4;I113=1;I114=1;I115=1;I116=4;I117=1;I118=2;I119=1;I121=1;I122=1;I123=1;I124=1;I125=1;I126=1;I127=1;I128=1;I130=1;I131=1;I132=1;I133=2;I134=2;I135=2;I136=2;I137=1;DATE=24/10/2025;H06F=;ID3=630804108130102.0;ID是否一致=1;地市编码缺失=0;县区编码缺失=0;城乡编码缺失或异常=0;学校编码缺失=0;年级编码缺失或异常=0;性别编码缺失或异常=0;住校编码缺失或异常=0;民族编码缺失或异常=0"
表3-2,210404108130103,"","01-表3-2-ID不一致","I117=1;I118=1;I119=1;I121=1;I122=1;I123=1;I124=1;I125=1;I126=1;I127=1;I128=1;I130=1;I131=1;I132=1;I133=2;I134=2;I135=2;I136=2;I137=2;DATE=24/10/2025;ID1=210404108130103;PROVINCE=21;CITY=2104;COUNTY=210404;POINT=1;SCHOOL=08;A01=13;A011=0103;A02=1;A05=1;Q92=1;H06F1=9;A06=2;C102=5;HD031=10;HD033=6;HD051=11;HD0511=10;HD061=8;HD0611=5;HD032=10;HD034=30;HD052=1;HD0512=1;HD062=1;HD0612=1;A04=2;A061=2;A062=1;A063=1;A064=2;A065=2;A066=2;A067=2;A08=2;A09=2;B01=2;B03=3;B04=6;B05=6;B13=5;B06=5;B09A=6;B09A1=3;B12=4;B14=1;B15=2;H401B=3;H401C=1;H401D=2;H01B=3;H01C=6;H02A=3;D02=4;C09=3;H403A=1;H403B=2;H403C=1;H403D=3;H403E=4;H04A=3;H04B=1;H04C=2;C10=1;H03A=4;H03B=1;H03C=3;H03D=3;C03=5;H03F=1;H03G=4;H03H=3;H05A=2;HD07=3;H06A=4;H06B=3;H06C=1;H06D1=1;H06D2=2;H06D3=2;H06D4=2;H06D5=2;H06D6=2;H06E1=2;H06E2=2;H06E3=2;H06E4=1;H06E7=2;H06E5=2;H06E6=2;H06G=2;H06G1=3;G01=2;G11=1;I101=1;I102=2;I103=1;I104=4;I105=2;I106=4;I107=1;I108=3;I109=1;I110=1;I111=4;I112=4;I113=1;I114=1;I115=1;I116=4;H06F=;ID3=630804108130103.0;ID是否一致=1;地市编码缺失=0;县区编码缺失=0;城乡编码缺失或异常=0;学校编码缺失=0;年级编码缺失或异常=0;性别编码缺失或异常=0;住校编码缺失或异常=0;民族编码缺失或异常=0"
表3-2,210404108130104,"","01-表3-2-ID不一致","ID1=210404108130104;PROVINCE=21;CITY=2104;COUNTY=210404;POINT=1;SCHOOL=08;A01=13;A011=0104;A02=1;A05=1;Q92=1;H06F1=12;A06=2;C102=0;HD031=11;HD033=6;HD051=12;HD0511=12;HD061=8;HD0611=8;HD032=0;HD034=30;HD052=0;HD0512=0;HD062=0;HD0612=0;A04=2;A061=2;A062=1;A063=1;A064=2;A065=2;A066=2;A067=2;A08=2;A09=2;B01=2;B03=2;B04=5;B05=5;B13=5;B06=5;B09A=2;B09A1=1;B12=4;B14=1;B15=2;H401B=5;H401C=1;H401D=2;H01B=2;H01C=3;H02A=3;D02=4;C09=2;H403A=2;H403B=3;H403C=3;H403D=2;H403E=2;H04A=1;H04B=1;H04C=1;C10=1;H03A=4;H03B=1;H03C=4;H03D=3;C03=5;H03F=1;H03G=1;H03H=5;H05A=1;HD07=3;H06A=3;H06B=2;H06C=1;H06D1=1;H06D2=2;H06D3=2;H06D4=2;H06D5=2;H06D6=2;H06E1=1;H06E2=1;H06E3=2;H06E4=1;H06E7=2;H06E5=2;H06E6=2;H06G=3;H06G1=3;G01=1;G11=1;I101=1;I102=1;I103=1;I104=4;I105=2;I106=2;I107=1;I108=4;I109=1;I110=1;I111=1;I112=4;I113=1;I114=1;I115=1;I116=3;I117=1;I118=1;I119=1;I121=1;I122=2;I123=2;I124=2;I125=2;I126=1;I127=2;I128=1;I130=1;I131=2;I132=2;I133=2;I134=2;I135=2;I136=2;I137=1;DATE=24/10/2025;H06F=;ID3=630804108130104.0;ID是否一致=1;地市编码缺失=0;县区编码缺失=0;城乡编码缺失或异常=0;学校编码缺失=0;年级编码缺失或异常=0;性别编码缺失或异常=0;住校编码缺失或异常=0;民族编码缺失或异常=0"
表3-2,210404108130105,"","01-表3-2-ID不一致","ID1=210404108130105;PROVINCE=21;CITY=2104;COUNTY=210404;POINT=1;SCHOOL=08;A01=13;A011=0105;A02=1;A05=1;Q92=1;A06=3;D021=2;C102=30;HD031=22;HD033=7;HD051=12;HD0511=6;HD061=4;HD0611=4;HD032=00;HD034=00;HD052=00;HD0512=00;HD062=00;HD0612=00;A04=2;A061=2;A062=1;A063=1;A064=2;A065=2;A066=1;A067=2;A08=2;A09=2;B01=2;B03=2;B04=4;B05=5;B13=3;B06=5;B09A=6;B09A1=1;B12=3;B14=1;B15=3;H401B=4;H401C=4;H401D=3;H01B=3;H01C=2;H02A=3;D02=1;C09=3;H403A=2;H403B=2;H403C=2;H403D=2;H403E=2;H04A=4;H04B=4;H04C=4;C10=1;H03A=3;H03B=2;H03C=3;H03D=2;C03=5;H03F=1;H03G=1;H03H=4;H05A=3;HD07=2;H06A=4;H06B=3;H06C=2;G01=1;G11=1;I101=3;I102=3;I103=3;I104=3;I105=1;I106=1;I107=1;I108=1;I109=1;I110=1;I111=1;I112=1;I113=1;I114=1;I115=1;I116=4;I117=1;I118=1;I119=1;I121=1;I122=1;I123=1;I124=1;I125=1;I126=1;I127=1;I128=1;I130=1;I131=1;I132=1;I133=1;I134=1;I135=1;I136=1;I137=1;DATE=04/11/2025;H06F=;ID3=630804108130105.0;ID是否一致=1;地市编码缺失=0;县区编码缺失=0;城乡编码缺失或异常=0;学校编码缺失=0;年级编码缺失或异常=0;性别编码缺失或异常=0;住校编码缺失或异常=0;民族编码缺失或异常=0"
表3-2,210404108130106,"","01-表3-2-ID不一致","ID1=210404108130106;PROVINCE=21;CITY=2104;COUNTY=210404;POINT=1;SCHOOL=08;A01=13;A011=0106;A02=1;A05=1;Q92=2;Q921=11;A06=2;D021=10;C102=30;HD031=11;HD033=6;HD051=15;HD0511=12;HD061=6;HD0611=5;HD032=0;HD034=30;HD052=59;HD0512=59;HD062=0;HD0612=0;A04=2;A061=2;A062=1;A063=1;A064=2;A065=2;A066=2;A067=2;A08=2;A09=2;B01=1;B03=2;B04=4;B05=5;B13=4;B06=5;B09A=4;B09A1=2;B12=4;B14=1;B15=3;H401B=3;H401C=1;H401D=4;H01B=2;H01C=1;H02A=2;D02=1;C09=2;H403A=1;H403B=3;H403C=3;H403D=3;H403E=3;H04A=2;H04B=1;H04C=2;C10=1;H03A=3;H03B=2;H03C=3;H03D=2;C03=5;H03F=4;H03G=4;H03H=4;H05A=1;HD07=4;H06A=4;H06B=1;H06C=2;G01=2;G11=2;I101=3;I102=1;I103=1;I104=1;I105=1;I106=2;I107=2;I108=1;I109=1;I110=1;I111=3;I112=4;I113=1;I114=1;I115=1;I116=3;I117=1;I118=2;I119=1;I121=1;I122=2;I123=1;I124=1;I125=1;I126=1;I127=2;I128=1;I130=1;I131=1;I132=1;I133=2;I134=2;I135=2;I136=2;I137=1;DATE=25/10/2025;H06F=;ID3=630804108130106.0;ID是否一致=1;地市编码缺失=0;县区编码缺失=0;城乡编码缺失或异常=0;学校编码缺失=0;年级编码缺失或异常=0;性别编码缺失或异常=0;住校编码缺失或异常=0;民族编码缺失或异常=0"
表3-2,210404108130107,"","01-表3-2-ID不一致","ID1=210404108130107;PROVINCE=21;CITY=2104;COUNTY=210404;POINT=1;SCHOOL=08;A01=13;A011=0107;A02=1;A05=6;Q92=1;H06F1=10;A06=3;D022=2;C102=30;HD031=22;HD033=6;HD051=10;HD0511=2;HD061=7;HD0611=2;HD032=30;HD034=0;HD052=0;HD0512=30;HD062=30;HD0612=30;A04=2;A061=2;A062=1;A063=1;A064=2;A065=2;A066=1;A067=2;A08=2;A09=2;B01=2;B03=2;B04=3;B05=3;B13=3;B06=4;B09A=6;B09A1=2;B12=6;B14=1;B15=2;H401B=5;H401C=4;H401D=3;H01B=3;H01C=1;H02A=3;D02=2;C09=2;H403A=3;H403B=3;H403C=3;H403D=4;H403E=4;H04A=4;H04B=1;H04C=4;C10=1;H03A=3;H03B=2;H03C=3;H03D=2;C03=3;H03F=1;H03G=3;H03H=4;H05A=4;HD07=1;H06A=2;H06B=2;H06C=1;H06D1=1;H06D2=2;H06D3=2;H06D4=2;H06D5=2;H06D6=2;H06E1=2;H06E2=2;H06E3=2;H06E4=1;H06E7=2;H06E5=2;H06E6=2;H06G=3;H06G1=3;G01=1;G11=1;I101=1;I102=1;I103=1;I104=1;I105=1;I106=1;I107=1;I108=4;I109=1;I110=1;I111=2;I112=4;I113=3;I114=1;I115=1;I116=4;I117=1;I118=1;I119=1;I121=1;I122=1;I123=1;I124=1;I125=1;I126=1;I127=1;I128=1;I130=1;I131=1;I132=1;I133=2;I134=2;I135=2;I136=2;I137=1;DATE=24/10/2025;H06F=;ID3=630804108130107.0;ID是否一致=1;地市编码缺失=0;县区编码缺失=0;城乡编码缺失或异常=0;学校编码缺失=0;年级编码缺失或异常=0;性别编码缺失或异常=0;住校编码缺失或异常=0;民族编码缺失或异常=0"
表3-2,210404108130108,"","01-表3-2-ID不一致","ID1=210404108130108;PROVINCE=21;CITY=2104;COUNTY=210404;POINT=1;SCHOOL=08;A01=13;A011=0108;A02=1;A05=1;Q92=2;Q921=13;A06=2;D021=3;C102=30;HD031=22;HD033=6;HD051=12;HD0511=10;HD061=8;HD0611=10;HD032=30;HD034=30;HD052=30;HD0512=30;HD062=0;HD0612=0;A04=2;A061=2;A062=1;A063=1;A064=2;A065=2;A066=2;A067=2;A08=2;A09=2;B01=1;B03=2;B04=5;B05=5;B13=3;B06=5;B09A=5;B09A1=2;B12=3;B14=1;B15=3;H401B=2;H401C=1;H401D=2;H01B=2;H01C=1;H02A=3;D02=1;C09=3;H403A=2;H403B=4;H403C=4;H403D=4;H403E=2;H04A=2;H04B=1;H04C=2;C10=1;H03A=4;H03B=1;H03C=4;H03D=3;C03=5;H03F=1;H03G=2;H03H=3;H05A=1;HD07=1;H06A=4;H06B=3;H06C=2;G01=1;G11=1;I101=1;I102=1;I103=1;I104=4;I105=1;I106=1;I107=2;I108=3;I109=1;I110=1;I111=1;I112=4;I113=2;I114=2;I115=1;I116=3;I117=1;I118=1;I119=1;I121=1;I122=1;I123=1;I124=1;I125=1;I126=1;I127=1;I128=1;I130=1;I131=1;I132=1;I133=2;I134=2;I135=2;I136=2;I137=1;DATE=24/10/2025;H06F=;ID3=630804108130108.0;ID是否一致=1;地市编码缺失=0;县区编码缺失=0;城乡编码缺失或异常=0;学校编码缺失=0;年级编码缺失或异常=0;性别编码缺失或异常=0;住校编码缺失或异常=0;民族编码缺失或异常=0"
表3-2,210404108130109,"","01-表3-2-ID不一致","ID1=210404108130109;PROVINCE=21;CITY=2104;COUNTY=210404;POINT=1;SCHOOL=08;A01=13;A011=0109;A02=1;A05=1;Q92=1;A06=2;D021=2;HD031=22;HD033=6;HD051=1;HD0511=2;HD061=8;HD0611=2;HD032=10;HD034=6;HD052=1;HD0512=2;HD062=8;HD0612=2;A04=2;A061=1;A062=1;A063=1;A064=2;A065=2;A066=2;A067=2;A08=2;A09=2;B01=1;B03=1;B04=1;B05=1;B13=1;B06=1;B09A=1;B09A1=1;B12=1;B14=1;B15=3;H401B=1;H401C=1;H401D=1;H01B=1;H01C=1;H02A=1;D02=1;C09=1;H403A=3;H403B=3;H403C=3;H403D=3;H403E=3;H04A=1;H04B=1;H04C=1;C10=2;H03A=4;H03B=1;H03C=4;H03D=3;C03=5;H03F=5;H03G=5;H03H=1;H05A=1;HD07=1;H06A=4;H06B=2;H06C=1;H06D1=2;H06D2=2;H06D3=2;H06D4=2;H06D5=2;H06D6=2;H06E1=2;H06E2=2;H06E3=2;H06E4=2;H06E7=2;H06E5=2;H06E6=2;H06G=1;H06G1=1;G01=2;G11=2;I101=1;I102=1;I103=1;I104=1;I105=1;I106=1;I107=1;I108=1;I109=1;I110=1;I111=1;I112=1;I113=1;I114=1;I115=1;I116=1;I117=1;I118=1;I119=1;I121=1;I122=1;I123=1;I124=1;I125=1;I126=1;I127=1;I128=1;I130=2;I131=2;I132=2;I133=2;I134=2;I135=2;I136=2;I137=2;DATE=24/10/2025;H06F=;ID3=630804108130109.0;ID是否一致=1;地市编码缺失=0;县区编码缺失=0;城乡编码缺失或异常=0;学校编码缺失=0;年级编码缺失或异常=0;性别编码缺失或异常=0;住校编码缺失或异常=0;民族编码缺失或异常=0"
表3-2,210404108130110,"","01-表3-2-ID不一致","ID1=210404108130110;PROVINCE=21;CITY=2104;COUNTY=210404;POINT=1;SCHOOL=08;A01=13;A011=0110;A02=1;A05=1;Q92=1;A06=4;D021=1;C102=10;HD031=22;HD033=6;HD051=9;HD0511=7;HD061=8;HD0611=4;HD032=30;HD034=45;HD052=30;HD0512=0;HD062=0;HD0612=0;A04=2;A061=1;A062=1;A063=1;A064=2;A065=2;A066=2;A067=2;A08=2;A09=2;B01=2;B03=2;B04=5;B05=4;B13=4;B06=3;B09A=5;B09A1=3;B12=5;B14=1;B15=3;H401B=5;H401C=3;H401D=2;H01B=3;H01C=1;H02A=3;D02=1;C09=3;H403A=2;H403B=4;H403C=4;H403D=4;H403E=4;H04A=1;H04B=1;H04C=1;C10=1;H03A=4;H03B=1;H03C=3;H03D=2;C03=5;H03F=1;H03G=1;H03H=5;H05A=4;HD07=1;H06A=4;H06B=3;H06C=2;G01=2;G11=1;I101=1;I102=1;I103=1;I104=4;I105=2;I106=1;I107=1;I108=1;I109=1;I110=1;I111=1;I112=4;I113=1;I114=1;I115=1;I116=4;I117=1;I118=1;I119=1;I121=1;I122=1;I123=1;I124=1;I125=1;I126=1;I127=1;I128=1;I130=1;I131=1;I132=1;I133=2;I134=1;I135=2;I136=2;I137=1;DATE=24/10/2025;H06F=;ID3=630804108130110.0;ID是否一致=1;地市编码缺失=0;县区编码缺失=0;城乡编码缺失或异常=0;学校编码缺失=0;年级编码缺失或异常=0;性别编码缺失或异常=0;住校编码缺失或异常=0;民族编码缺失或异常=0"
